Ticker,Outstanding_Shares,Price
QDRO,2548387,10.23
LSTA,7861027,3.31
COCP,10172549,2.55
EDTK,14901734,1.73
LUCY,7645833,3.36
NMTC,16365385,1.56
MTEM,55434783,0.46
TGL,17404110,1.46
EVGN,41245902,0.61
CDIO,9595420,2.62
NMRD,28896552,0.87
ENTX,28816092,0.87
LYT,39109375,0.64
ANPC,5649321,4.42
UPTD,2330215,10.69
SLGG,37439394,0.66
CRGO,7932476,3.11
MTCR,44035714,0.56
TPST,10840708,2.26
MBRX,28080460,0.87
ANGN,30111111,0.81
OPHC,7250000,3.36
HARP,38031250,0.64
VCNX,54840909,0.44
DLPN,12684211,1.90
EQ,33458333,0.72
ACER,23539216,1.02
USEA,8885185,2.70
CGRN,18206107,1.31
DALN,5345372,4.43
ELTK,5749392,4.11
SEAC,50234043,0.47
FGF,9436000,2.50
WKSP,17160584,1.37
PME,85925926,0.27
SFR,47265306,0.49
BTOG,92480000,0.25
MDVL,79379310,0.29
BNOX,10231111,2.25
HTCR,20292035,1.13
POAI,78655172,0.29
BBGI,29907895,0.76
GSUN,18282258,1.24
TFFP,36451613,0.62
FBRX,21102804,1.07
AYRO,37366667,0.60
GBNY,2341361,9.55
MGIH,11425641,1.95
BSQR,20163636,1.10
HGEN,122388889,0.18
GLBS,20388889,1.08
